Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Qatar,2500,2750,3000,2950,3500,3000,4000,3750,3875,5500,4300,6000,7000,6500,6000,5850,5700,5600,4000,3760,3585,3450,3425,3330,4500,4500,4500,4500,4500,4500,2993,2993,3121,3121,3500,3700,3700,3700,3700,3700,13157,15207,15207,26089,25494,25288,26185,25090,25405,25381.9,25381.9,25382,25244,25244,25244,25244,25244,25244,25244,25244,25244,25244,25244
Saudi Arabia,53000,55000,55750,65000,66750,66200,72500,81450,84500,146500,141350,139609.3515,146000,143227.387,173150,170567.479,167428.2333,164070.268,168940,166480,168030,167850,165483.705,168847.5,171710,171490,169743.767,169585,254989,260050,260342,260936,261203,261355,261374,261450,261444,261541,261542,262784,262766,262697,262790,262730,264310,264211,264251,264209,264063,264590,264516,265405,265850,265789,266578,266455,266208,266260,267026,267073,267082,267192,267192
Syrian Arab Rep.,50,100,100,300,500,1200,1500,1500,1500,1500,1200,1900,2000,2000,1500,2240,2200,2150,2080,2000,1940,1900,1842,1593,1699,1802,1742,2409,2599,2321,2244,2511,2698,2505,2640,2558,2450,2345,2300,2300,2325,2325,2280,2395,3159,3000,3000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
United Arab Emirates,250,3500,5000,7500,7700,10000,12500,15000,19000,17000,12783,20502,22768,25500,33920,32200,31200,32425,31316,29411.3,30410,32176,32354,32340,32490,32990,97203,98105,98105,98105,98100,98100,98100,98100,98100,98100,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,97800,105000,107000,111000,113000
Algeria,5200,5500,6500,7000,7500,7400,7250,6900,7000,8000,8098,9840,9750,7640,7700,7370,6800,6600,6300,8440,8200,8080,9440,9220,9000,8820,8800,8564,9200,9236,9200,9200,9200,9200,9979,9979,10800,11200,11314,11314,11314,11314,11314,11800,11350,12270,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200,12200
Angola,30,30,50,200,200,196,193,500,500,500,500,803,1200,1500,1439,1380,1331,1267,1207,1200,1375,1108,1457,1715,2147,2018,1400,2000,2000,2074,1625,1450,1334,1901,2965,3125,3695,3900,4030,5050,5972,6500,8900,8801,9035,9050,9330,9500,9500,9500,9055,9055,9055,9011,8423,9524,9523,8384,8160,7783,7231,2516,2550
Congo,10,10,10,10,10,10,10,10,10,10,10,330,500,500,500,500,486,474,462,445,660,733,754.4,723,691,656,720,720,710,830,830,830,830,830,830,1505.9,1505.9,1505.9,1505.913,1505.913,1505.913,1505.913,1515,1785,1784,1905,1940,1940,1940,2000,2000,2000,2000,2673,2867,2982,2982,2982,2982,1947,1811,1811,1811
Egypt,550,710,720,1500,1500,2000,944,1400,2100,5000,4500,4000,5200,5125,3700,3900,1950,2450,3200,3100,2880,3990,3820,3820,3250,3203,3309,3335,3331,3318,3453,3376,3439,3100,3265,3115,3000,2924,3757,3767,3627,3668,3525,3525,3620,3720,3720,4070,4340,4300,4400,4300,4200,3900,3681,3473,3384,3325,3325,3075,3075,3300,3300
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,300,555,555,555,555,555,800,1110,1095,1280,1765,1805,1755,1705,1705,1705,1705,1705,1705,1705,1100,1100,1100,1100,1100,1100,1100,1100,1100
Gabon,50,50,80,100,250,275,400,500,480,500,485,725,760.7,760.7,652.1,579.6,586.8,543.4,599.9,434.7,470.9,463.5,481.8,547.3,518.1,677.5,733,960,930,959,860,876,768,662,1400,1470,2800,2672,2565,2565,2420,2400,2370,2285,2190,2146,1995,1995,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
