Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bahrain,42.98,42.98,42.98,43.076,46.888,54.321,58.8,66.234,71.475,72.523,73,71.4,66.8,65.2,64.3,58.3,58.251,55.986,53.323,50.255,48.246,45.241,43.904,41.408,41.164,41.83,42.016,42.334,43.005,107.693,108.264,107.613,123.486,141.184,137.935,145.374,174.339,182.426,183.13,176.409,180.347,182.373,187.317,188.634,187.126,186.528,183.314,184.7,184.499,182,181.753,190.301,173.046,197.559,202.512,202.57,205,194.868,193.208,194.373,195.724,192.921,189.721
IR Iran,1067.7,1202.2,1334.5,1491.3,1710.7,1908.3,2131.8,2603.2,2839.8,3375.8,3829,4539.5,5023.1,5860.9,6021.6,5350.1,5882.92,5662.819,5241.704,3167.899,1467.393,1262.841,2420.641,2441.685,2032.4,2192.326,2037.113,2297.622,2478.524,2814.077,3135.307,3406.785,3431.593,3425.205,3596,3595,3596,3603.381,3714,3439,3661.25,3572,3248,3741.6,3834.2,4091.5,4072.6,4030.7,4055.672,3557.083,3544,3576,3739.751,3575.342,3117.082,3151.644,3651.298,3867.315,3535.865,2362.446,1990.624,2392.117,2554.267
Iraq,972.2,1007.1,1009.2,1161.9,1255.2,1312.6,1392.2,1228.1,1503.3,1521.2,1548.6,1694.1,1465.5,2018.1,1970.6,2261.7,2415.416,2348.211,2562.035,3476.932,2646.448,897.4,1078.387,1098.788,1221.32,1404.358,1876.532,2358.671,2744.454,2785.786,2112.622,282.466,526.202,659.466,748.677,736.89,740.421,1383.915,2181.082,2719.843,2809.96,2593.682,2126.496,1377.828,2107.062,1853.151,1957.224688,2035.244,2280.538,2336.181,2358.074,2652.625,2942.407,2979.616,3110.471,3504.137,4647.795,4468.663,4410,4576.14,3996.617,3971.367,4452.528
Kuwait1,1691.8,1735,1957.8,2096.3,2301,2360.3,2484.1,2499.8,2613.5,2773.4,2989.6,3196.7,3283,3020.4,2546.1,2084.2,2145.397,1968.997,2131.39,2500.297,1663.7,1129.7,824.3,1054.1,1163,936.323,1174.339,971.611,1190.128,1277.542,858.619,185.308,1057.2,1881.8,2006.6,2006.6,2005.6,2007.1,2051.5,1872.7,1996.098,1947.038,1745.9,2107.6,2288.7,2573.4,2664.5,2574.5,2676.01,2261.61,2312.12,2658.69,2977.56,2924.65,2866.78,2858.685,2954.265,2704.236,2736.603,2677.655,2438.003,2414.956,2707.038
Oman,0,0,0,0,0,0,0,79.143,301.018,451.527,333.001,294.041,281.721,292.751,290.803,341.655,366.957,340.666,314.592,295.236,282.874,327.988,336.041,388.957,415.982,497.97,559.685,582.003,619.01,640.955,685.293,708.015,739.822,779.683,809.628,848.062,882.588,899.634,899.455,899.651,891.24,882.61,825.246,759.51,719.733,714.785,687.059,652.986,669.265,712.595,758.26,780.121,813.459,844.337,856.123,885.214,908.721,883.929,870.003,840.603,761.883,751.737,848.016
Qatar,174.6,177.2,186.2,191.5,215.3,232.6,291.3,323.6,339.5,355.5,362.4,430.7,482.4,570.3,518.4,437.6,497.314,444.605,486.681,508.106,471.394,415.2,332,268.986,325.3,293.112,320.297,284.618,321.434,379.082,403.219,393.586,385.894,422.104,404.589,449.178,487.172,623.274,656.076,621.475,687.623,680.589,643.781,713.671,768.653,764.208,815.556,792.024,842.797,733.015,733.423,733.515,733.578,723.923,709.154,655.968,651.504,600.036,600.638,595.444,603.06,601.466,606.008
Saudi Arabia1,1313.5,1480.1,1642.9,1786,1896.5,2205.3,2601.8,2805,3042.9,3216.2,3799.1,4768.9,6016.3,7596.2,8479.7,7075.4,8577.174,9199.905,8301.082,9532.627,9900.5,9808,6483,4539.41,4079.081,3174.955,4784.2,3975.15,5100.147,5064.5,6412.5,8117.8,8331.7,8047.7,8049,8023.4,8102.3,8011.7,8280.2,7564.7,8094.5,7888.9,7093.1,8410.3,8897,9353.3,9207.9,8816,9198,8184,8165.6,9311,9763,9637,9712.7,10192.6,10460.2,9959.162,10317.287,9808.161,9213.21,9124.717,10590.912
Syrian Arab Rep.,65.096,65.096,65.096,65.096,65.096,65.096,65.096,65.096,65.096,65.096,65.096,109.038,120,96.11,135.096,165.589,165.888,202.521,190.329,170.027,161.667,166.671,161.616,166.427,170,177.521,193.822,230.443,250.508,340.199,404.91,470.575,512.19,562.917,576.541,622.81,600,569,559,544.433,510,505,495,477.836,454.973,415.753,400,380,377,377,386.011,333.29,151.571,45.326,22.847,25.553,21,20.748,20.581,21.668,23,22.838,32.112
United Arab Emirates,0,0,14.2,48.2,186.8,282.2,360,382.1,496.6,627.8,779.6,1059.5,1202.7,1532.6,1678.6,1663.8,1936.402,1998.71,1830.501,1830.69,1701.891,1502.3,1248.8,1149.022,1069.021,1009.146,1128.55,1242.287,1323.474,1593.001,1762.628,2027.408,2235.67,2159.286,2166.533,2148,2161.3,2160.7,2244.1,2048.8,2174.7,2115.2,1900.3,2248,2343.6,2378,2568,2529,2572.2,2241.638,2323.829,2564.17,2653,2796.534,2794,2988.885,3088.284,2966.526,3008.342,3057.899,2778.552,2717.603,3064.181
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.585,189.178,191.137,194.904,182.077,216.997,338.926,340.326,356.708,380.795,385.068,409.151,444.18,456.912,428.056,421.19,393.772,389.64,357.274,313.214,285.667,283.425,267.523,205.132,159.15,121.03,119.192,35.981,24.208,31.833,38.356,37,42,44.764,49
